Reign,JulianStart,GregorianStart,Abbreviation,RegnalYear
Malcolm II,1005-03-25,,,
Duncan I,1034-11-25,,,
Macbeth,1040-08-14,,,
Lulach,1057-08-15,,,
Malcolm III,1058-03-17,,,
Donald Bane (First Reign),1093-11-13,,,
Duncan II,1094-05-12,,,
Donald Bane (Second Reign),1094-11-12,,,
Eadgar,1097-10-08,,,
Alexander I,1107-01-08,,,
David I,1124-04-23,,,
Malcom IV,1153-05-24,,,
William,1165-12-09,,,
Alexander II,1214-12-04,,,
Alexander III,1249-07-08,,,
Margaret,1286-03-19,,,
Interregnum I,1290-09-26,,,
John,1292-11-17,,,
Interregnum II,1296-07-10,,,
Robert I,1306-03-27,,,
David II,1329-06-07,,,
Robert II,1371-02-22,,,
Robert III,1390-04-19,,,
James I,1406-04-04,,,
James II,1437-02-21,,,
James III,1460-08-03,,,
James IV,1488-06-11,,,
James V,1513-09-09,,,
Mary,1542-12-14,,,
James VI,1567-07-24,,,
Union,1625-03-27,,,
